thread_id,request_time,push_start_time,push_end_time,gpu_start_time,gpu_end_time,pull_start_time,pull_end_time,push_delay,compute_delay,pull_delay,total_delay
11,1745471451786.85,1745471451951.88,1745471451952.06,1745471451952.06,1745471451969.42,1745471451969.42,1745471451969.63,0.18,17.36,0.22,17.75
9,1745471451804.09,1745471451969.65,1745471451970.24,1745471451970.24,1745471451987.46,1745471451987.46,1745471451987.54,0.58,17.22,0.08,17.88
3,1745471451821.91,1745471451987.56,1745471451987.73,1745471451987.73,1745471452005.10,1745471452005.10,1745471452005.59,0.17,17.37,0.49,18.03
2,1745471451839.61,1745471452005.61,1745471452006.22,1745471452006.22,1745471452023.33,1745471452023.33,1745471452023.42,0.60,17.11,0.09,17.81
10,1745471451857.40,1745471452023.44,1745471452023.77,1745471452023.77,1745471452041.09,1745471452041.09,1745471452041.57,0.33,17.32,0.48,18.14
7,1745471451875.33,1745471452041.59,1745471452042.17,1745471452042.17,1745471452059.45,1745471452059.45,1745471452059.53,0.58,17.28,0.08,17.94
5,1745471451893.25,1745471452059.55,1745471452059.87,1745471452059.87,1745471452077.12,1745471452077.12,1745471452077.19,0.31,17.25,0.07,17.64
1,1745471451912.89,1745471452077.21,1745471452077.53,1745471452077.53,1745471452094.51,1745471452094.51,1745471452094.58,0.32,16.98,0.08,17.37
4,1745471451928.27,1745471452094.61,1745471452094.93,1745471452094.93,1745471452111.61,1745471452111.61,1745471452111.70,0.33,16.68,0.08,17.09
8,1745471451946.22,1745471452111.71,1745471452112.03,1745471452112.03,1745471452129.25,1745471452129.25,1745471452129.33,0.32,17.22,0.08,17.61
6,1745471451963.94,1745471452129.35,1745471452129.52,1745471452129.52,1745471452146.81,1745471452146.81,1745471452146.89,0.17,17.29,0.08,17.54
11,1745471451981.85,1745471452146.91,1745471452147.09,1745471452147.09,1745471452164.38,1745471452164.38,1745471452164.46,0.18,17.29,0.08,17.55
9,1745471451999.58,1745471452164.49,1745471452164.80,1745471452164.80,1745471452182.00,1745471452182.00,1745471452182.08,0.31,17.21,0.07,17.59
3,1745471452017.93,1745471452182.10,1745471452182.27,1745471452182.27,1745471452199.55,1745471452199.55,1745471452199.76,0.17,17.28,0.21,17.66
2,1745471452035.45,1745471452199.78,1745471452200.37,1745471452200.37,1745471452217.31,1745471452217.31,1745471452217.41,0.59,16.94,0.09,17.62
10,1745471452053.72,1745471452217.43,1745471452217.73,1745471452217.73,1745471452235.09,1745471452235.09,1745471452235.37,0.30,17.36,0.27,17.94
7,1745471452071.62,1745471452235.39,1745471452235.97,1745471452235.97,1745471452253.24,1745471452253.24,1745471452253.32,0.58,17.27,0.08,17.93
5,1745471452089.14,1745471452253.34,1745471452253.66,1745471452253.66,1745471452270.92,1745471452270.92,1745471452271.17,0.32,17.26,0.25,17.83
1,1745471452107.79,1745471452271.19,1745471452271.77,1745471452271.77,1745471452288.78,1745471452288.78,1745471452288.86,0.58,17.01,0.07,17.67
4,1745471452123.70,1745471452288.88,1745471452289.33,1745471452289.33,1745471452306.13,1745471452306.13,1745471452306.39,0.45,16.80,0.26,17.51
8,1745471452141.30,1745471452306.41,1745471452306.99,1745471452306.99,1745471452324.17,1745471452324.17,1745471452324.24,0.58,17.18,0.08,17.84
6,1745471452158.93,1745471452324.27,1745471452324.44,1745471452324.44,1745471452341.83,1745471452341.83,1745471452342.35,0.17,17.39,0.52,18.08
11,1745471452176.44,1745471452342.37,1745471452342.95,1745471452342.95,1745471452360.28,1745471452360.28,1745471452360.76,0.58,17.33,0.47,18.38
9,1745471452194.05,1745471452360.78,1745471452361.38,1745471452361.38,1745471452378.34,1745471452378.34,1745471452378.42,0.60,16.96,0.08,17.64
3,1745471452212.09,1745471452378.44,1745471452378.88,1745471452378.88,1745471452395.61,1745471452395.61,1745471452395.69,0.44,16.72,0.08,17.24
2,1745471452229.40,1745471452395.71,1745471452396.04,1745471452396.04,1745471452413.15,1745471452413.15,1745471452413.65,0.33,17.11,0.50,17.94
10,1745471452247.55,1745471452413.67,1745471452414.18,1745471452414.18,1745471452431.43,1745471452431.43,1745471452431.52,0.51,17.25,0.09,17.85
7,1745471452265.41,1745471452431.54,1745471452432.04,1745471452432.04,1745471452449.26,1745471452449.26,1745471452449.33,0.50,17.21,0.08,17.79
5,1745471452283.41,1745471452449.36,1745471452449.53,1745471452449.53,1745471452466.91,1745471452466.91,1745471452467.42,0.17,17.38,0.51,18.06
1,1745471452302.89,1745471452467.44,1745471452468.03,1745471452468.03,1745471452484.87,1745471452484.87,1745471452484.96,0.60,16.83,0.09,17.52
4,1745471452318.59,1745471452484.98,1745471452485.40,1745471452485.40,1745471452502.22,1745471452502.22,1745471452502.50,0.42,16.82,0.27,17.52
8,1745471452336.29,1745471452502.51,1745471452503.10,1745471452503.10,1745471452520.35,1745471452520.35,1745471452520.42,0.58,17.25,0.07,17.91
6,1745471452354.72,1745471452520.45,1745471452520.62,1745471452520.62,1745471452537.99,1745471452537.99,1745471452538.07,0.17,17.37,0.08,17.62
