thread_id,Gstart,Gend,request_time,push_start_time,push_end_time,gpu_start_time,gpu_end_time,pull_start_time,pull_end_time,push_delay,compute_delay,pull_delay,total_delay
6,0,306,1745484465974.43,1745484466136.43,1745484466136.94,1745484466136.94,1745484466153.94,1745484466153.94,1745484466154.00,0.51,16.99,0.06,17.57
11,0,306,1745484465991.69,1745484466154.01,1745484466154.18,1745484466154.18,1745484466171.24,1745484466171.24,1745484466171.29,0.17,17.06,0.06,17.29
10,0,306,1745484466008.86,1745484466171.30,1745484466171.47,1745484466171.47,1745484466188.21,1745484466188.21,1745484466188.27,0.17,16.74,0.06,16.97
4,0,306,1745484466026.18,1745484466188.28,1745484466188.45,1745484466188.45,1745484466205.65,1745484466205.65,1745484466205.70,0.17,17.20,0.06,17.42
7,0,306,1745484466043.72,1745484466205.71,1745484466205.88,1745484466205.88,1745484466223.13,1745484466223.13,1745484466223.22,0.17,17.25,0.08,17.50
3,0,306,1745484466061.33,1745484466223.23,1745484466223.55,1745484466223.55,1745484466240.18,1745484466240.18,1745484466240.98,0.33,16.62,0.81,17.76
2,0,306,1745484466079.10,1745484466240.99,1745484466241.38,1745484466241.38,1745484466259.30,1745484466259.30,1745484466259.40,0.38,17.93,0.10,18.41
5,0,306,1745484466096.66,1745484466259.41,1745484466259.58,1745484466259.58,1745484466276.75,1745484466276.75,1745484466276.83,0.17,17.17,0.08,17.43
8,0,306,1745484466113.94,1745484466276.84,1745484466277.17,1745484466277.17,1745484466294.38,1745484466294.38,1745484466294.43,0.32,17.21,0.06,17.59
1,0,306,1745484466131.59,1745484466294.44,1745484466294.62,1745484466294.62,1745484466312.01,1745484466312.01,1745484466312.10,0.17,17.40,0.08,17.66
9,0,306,1745484466148.49,1745484466312.11,1745484466312.28,1745484466312.28,1745484466328.98,1745484466328.98,1745484466329.23,0.17,16.70,0.25,17.12
6,0,306,1745484466166.00,1745484466329.25,1745484466329.83,1745484466329.83,1745484466347.13,1745484466347.13,1745484466347.21,0.58,17.30,0.08,17.95
11,0,306,1745484466183.01,1745484466347.22,1745484466347.38,1745484466347.38,1745484466364.64,1745484466364.64,1745484466364.71,0.17,17.26,0.06,17.49
10,0,306,1745484466200.18,1745484466364.72,1745484466364.89,1745484466364.89,1745484466382.15,1745484466382.15,1745484466382.22,0.17,17.26,0.08,17.51
4,0,306,1745484466217.72,1745484466382.23,1745484466382.40,1745484466382.40,1745484466399.64,1745484466399.64,1745484466399.72,0.17,17.24,0.08,17.49
7,0,306,1745484466234.93,1745484466399.73,1745484466399.92,1745484466399.92,1745484466417.13,1745484466417.13,1745484466417.19,0.19,17.21,0.06,17.46
3,0,306,1745484466252.95,1745484466417.20,1745484466417.37,1745484466417.37,1745484466434.66,1745484466434.66,1745484466434.73,0.17,17.29,0.08,17.53
2,0,306,1745484466271.34,1745484466434.74,1745484466434.91,1745484466434.91,1745484466451.97,1745484466451.97,1745484466452.25,0.17,17.06,0.27,17.51
5,0,306,1745484466288.79,1745484466452.26,1745484466452.86,1745484466452.86,1745484466469.98,1745484466469.98,1745484466470.06,0.60,17.12,0.09,17.81
8,0,306,1745484466306.50,1745484466470.07,1745484466470.57,1745484466470.57,1745484466487.74,1745484466487.74,1745484466487.79,0.50,17.17,0.06,17.72
1,0,306,1745484466324.11,1745484466487.80,1745484466487.97,1745484466487.97,1745484466505.31,1745484466505.31,1745484466505.37,0.17,17.34,0.06,17.57
9,0,306,1745484466341.43,1745484466505.38,1745484466505.55,1745484466505.55,1745484466522.18,1745484466522.18,1745484466522.44,0.16,16.63,0.26,17.06
6,0,306,1745484466359.21,1745484466522.45,1745484466523.04,1745484466523.04,1745484466540.10,1745484466540.10,1745484466540.16,0.59,17.06,0.06,17.71
11,0,306,1745484466376.63,1745484466540.17,1745484466540.34,1745484466540.34,1745484466557.64,1745484466557.64,1745484466557.70,0.17,17.30,0.06,17.53
10,0,306,1745484466394.18,1745484466557.71,1745484466557.88,1745484466557.88,1745484466574.60,1745484466574.60,1745484466574.67,0.17,16.73,0.07,16.96
4,0,306,1745484466411.69,1745484466574.68,1745484466574.85,1745484466574.85,1745484466592.11,1745484466592.11,1745484466592.17,0.17,17.26,0.06,17.49
7,0,306,1745484466429.15,1745484466592.17,1745484466592.34,1745484466592.34,1745484466609.48,1745484466609.48,1745484466609.56,0.17,17.14,0.08,17.39
3,0,306,1745484466446.72,1745484466609.57,1745484466609.74,1745484466609.74,1745484466626.93,1745484466626.93,1745484466626.99,0.17,17.19,0.06,17.42
2,0,306,1745484466464.44,1745484466627.00,1745484466627.17,1745484466627.17,1745484466644.17,1745484466644.17,1745484466644.43,0.17,17.00,0.26,17.43
5,0,306,1745484466482.15,1745484466644.44,1745484466644.74,1745484466644.74,1745484466661.82,1745484466661.82,1745484466662.10,0.30,17.08,0.28,17.66
8,0,306,1745484466499.85,1745484466662.10,1745484466662.70,1745484466662.70,1745484466679.60,1745484466679.60,1745484466679.67,0.60,16.90,0.06,17.56
1,0,306,1745484466517.84,1745484466679.68,1745484466679.84,1745484466679.84,1745484466697.10,1745484466697.10,1745484466697.17,0.17,17.26,0.07,17.49
9,0,306,1745484466534.71,1745484466697.18,1745484466697.35,1745484466697.35,1745484466713.95,1745484466713.95,1745484466714.21,0.17,16.60,0.26,17.04
6,0,306,1745484466552.23,1745484466714.22,1745484466714.83,1745484466714.83,1745484466732.06,1745484466732.06,1745484466732.13,0.61,17.23,0.07,17.91
11,0,306,1745484466569.47,1745484466732.13,1745484466732.30,1745484466732.30,1745484466749.52,1745484466749.52,1745484466749.60,0.17,17.22,0.08,17.46
10,0,306,1745484466586.63,1745484466749.61,1745484466749.77,1745484466749.77,1745484466767.01,1745484466767.01,1745484466767.07,0.17,17.23,0.06,17.46
4,0,306,1745484466604.12,1745484466767.07,1745484466767.24,1745484466767.24,1745484466784.47,1745484466784.47,1745484466784.53,0.17,17.22,0.06,17.46
7,0,306,1745484466621.54,1745484466784.54,1745484466784.71,1745484466784.71,1745484466802.01,1745484466802.01,1745484466802.07,0.17,17.31,0.06,17.53
3,0,306,1745484466639.35,1745484466802.08,1745484466802.25,1745484466802.25,1745484466819.46,1745484466819.46,1745484466819.55,0.17,17.21,0.08,17.47
2,0,306,1745484466656.38,1745484466819.55,1745484466819.72,1745484466819.72,1745484466836.27,1745484466836.27,1745484466836.35,0.17,16.54,0.08,16.80
5,0,306,1745484466674.30,1745484466836.36,1745484466836.85,1745484466836.85,1745484466854.01,1745484466854.01,1745484466854.09,0.50,17.15,0.08,17.73
8,0,306,1745484466691.61,1745484466854.10,1745484466854.27,1745484466854.27,1745484466870.98,1745484466870.98,1745484466871.04,0.18,16.71,0.06,16.95
1,0,306,1745484466709.12,1745484466871.05,1745484466871.22,1745484466871.22,1745484466888.44,1745484466888.44,1745484466888.50,0.17,17.23,0.06,17.45
9,0,306,1745484466726.42,1745484466888.51,1745484466888.69,1745484466888.69,1745484466905.34,1745484466905.34,1745484466905.43,0.18,16.65,0.09,16.92
6,0,306,1745484466744.08,1745484466905.44,1745484466905.94,1745484466905.94,1745484466923.17,1745484466923.17,1745484466923.23,0.50,17.23,0.06,17.79
11,0,306,1745484466761.56,1745484466923.23,1745484466923.40,1745484466923.40,1745484466940.58,1745484466940.58,1745484466940.64,0.17,17.18,0.06,17.40
10,0,306,1745484466779.02,1745484466940.64,1745484466940.81,1745484466940.81,1745484466958.09,1745484466958.09,1745484466958.15,0.17,17.28,0.06,17.50
4,0,306,1745484466796.61,1745484466958.15,1745484466958.32,1745484466958.32,1745484466974.93,1745484466974.93,1745484466974.97,0.17,16.61,0.04,16.82
7,0,306,1745484466814.03,1745484466974.98,1745484466975.14,1745484466975.14,1745484466992.24,1745484466992.24,1745484466992.30,0.16,17.10,0.06,17.32
3,0,306,1745484466831.39,1745484466992.31,1745484466992.47,1745484466992.47,1745484467009.02,1745484467009.02,1745484467009.07,0.16,16.56,0.04,16.76
2,0,306,1745484466848.45,1745484467009.07,1745484467009.23,1745484467009.23,1745484467025.72,1745484467025.72,1745484467025.78,0.16,16.49,0.06,16.71
5,0,306,1745484466865.80,1745484467025.79,1745484467026.07,1745484467026.07,1745484467042.86,1745484467042.86,1745484467042.92,0.28,16.79,0.07,17.14
8,0,306,1745484466883.05,1745484467042.93,1745484467043.22,1745484467043.22,1745484467060.06,1745484467060.06,1745484467060.12,0.29,16.84,0.06,17.19
1,0,306,1745484466900.65,1745484467060.13,1745484467060.42,1745484467060.42,1745484467077.30,1745484467077.30,1745484467077.34,0.29,16.88,0.04,17.21
9,0,306,1745484466917.60,1745484467077.35,1745484467077.51,1745484467077.51,1745484467094.10,1745484467094.10,1745484467094.15,0.16,16.60,0.05,16.80
6,0,306,1745484466935.12,1745484467094.16,1745484467094.31,1745484467094.31,1745484467111.04,1745484467111.04,1745484467111.10,0.15,16.73,0.06,16.94
