thread_id,Gstart,Gend,request_time,push_start_time,push_end_time,gpu_start_time,gpu_end_time,pull_start_time,pull_end_time,push_delay,compute_delay,pull_delay,total_delay
7,0,306,1745484463779.95,1745484463943.12,1745484463943.29,1745484463943.29,1745484463960.48,1745484463960.48,1745484463960.55,0.17,17.19,0.08,17.43
4,0,306,1745484463797.59,1745484463960.56,1745484463960.73,1745484463960.73,1745484463977.94,1745484463977.94,1745484463978.00,0.17,17.21,0.06,17.44
5,0,306,1745484463815.02,1745484463978.01,1745484463978.17,1745484463978.17,1745484463995.40,1745484463995.40,1745484463995.46,0.17,17.22,0.06,17.46
9,0,306,1745484463832.51,1745484463995.47,1745484463995.64,1745484463995.64,1745484464013.07,1745484464013.07,1745484464013.15,0.17,17.43,0.08,17.68
6,0,306,1745484463850.14,1745484464013.16,1745484464013.32,1745484464013.32,1745484464030.66,1745484464030.66,1745484464030.93,0.17,17.33,0.28,17.78
1,0,306,1745484463867.49,1745484464030.94,1745484464031.54,1745484464031.55,1745484464048.50,1745484464048.50,1745484464048.56,0.60,16.95,0.06,17.61
2,0,306,1745484463884.53,1745484464048.56,1745484464048.74,1745484464048.74,1745484464065.12,1745484464065.12,1745484464065.16,0.17,16.38,0.04,16.60
10,0,306,1745484463902.52,1745484464065.17,1745484464065.33,1745484464065.33,1745484464082.57,1745484464082.57,1745484464082.63,0.16,17.24,0.06,17.46
3,0,306,1745484463920.02,1745484464082.63,1745484464082.92,1745484464082.92,1745484464100.12,1745484464100.12,1745484464100.17,0.29,17.19,0.05,17.53
11,0,306,1745484463937.68,1745484464100.18,1745484464100.34,1745484464100.34,1745484464116.95,1745484464116.95,1745484464117.02,0.16,16.61,0.07,16.84
8,0,306,1745484463955.02,1745484464117.03,1745484464117.33,1745484464117.33,1745484464134.20,1745484464134.20,1745484464134.27,0.30,16.88,0.06,17.24
7,0,306,1745484463972.49,1745484464134.27,1745484464134.56,1745484464134.56,1745484464151.09,1745484464151.09,1745484464151.15,0.28,16.53,0.06,16.88
4,0,306,1745484463989.96,1745484464151.16,1745484464151.44,1745484464151.44,1745484464168.52,1745484464168.52,1745484464168.58,0.28,17.08,0.06,17.42
5,0,306,1745484464007.43,1745484464168.59,1745484464168.88,1745484464168.88,1745484464185.63,1745484464185.63,1745484464185.69,0.29,16.76,0.06,17.11
9,0,306,1745484464025.12,1745484464185.70,1745484464185.84,1745484464185.84,1745484464203.08,1745484464203.08,1745484464203.14,0.14,17.24,0.06,17.44
6,0,306,1745484464043.08,1745484464203.15,1745484464203.28,1745484464203.28,1745484464220.54,1745484464220.54,1745484464220.60,0.13,17.26,0.06,17.45
11,0,306,1745484464234.23,1745484464234.35,1745484464235.00,1745484464235.01,1745484464257.00,1745484464257.00,1745484464257.44,0.65,21.99,0.44,23.09
10,0,306,1745484464234.44,1745484464257.45,1745484464258.04,1745484464258.04,1745484464279.37,1745484464279.37,1745484464279.48,0.58,21.34,0.10,22.02
4,0,306,1745484464234.73,1745484464279.48,1745484464279.99,1745484464279.99,1745484464296.66,1745484464296.66,1745484464296.72,0.50,16.67,0.06,17.23
7,0,306,1745484464235.02,1745484464296.73,1745484464296.89,1745484464296.89,1745484464314.18,1745484464314.18,1745484464314.25,0.17,17.29,0.07,17.53
3,0,306,1745484464235.04,1745484464314.26,1745484464314.43,1745484464314.43,1745484464331.07,1745484464331.07,1745484464331.12,0.17,16.64,0.06,16.86
2,0,306,1745484464235.68,1745484464331.13,1745484464331.30,1745484464331.30,1745484464348.32,1745484464348.32,1745484464348.61,0.17,17.02,0.29,17.48
1,0,306,1745484464235.69,1745484464383.53,1745484464383.70,1745484464383.70,1745484464400.42,1745484464400.42,1745484464400.50,0.17,16.72,0.07,16.96
6,0,306,1745484464235.72,1745484464417.36,1745484464417.53,1745484464417.53,1745484464434.30,1745484464434.30,1745484464434.37,0.18,16.76,0.07,17.01
5,0,306,1745484464235.75,1745484464348.63,1745484464349.21,1745484464349.21,1745484464366.41,1745484464366.41,1745484464366.50,0.58,17.20,0.09,17.87
9,0,306,1745484464235.79,1745484464400.51,1745484464400.68,1745484464400.68,1745484464417.27,1745484464417.27,1745484464417.35,0.17,16.59,0.08,16.84
8,0,306,1745484464235.82,1745484464366.51,1745484464366.82,1745484464366.82,1745484464383.46,1745484464383.46,1745484464383.53,0.31,16.64,0.07,17.01
11,0,306,1745484464269.39,1745484464434.38,1745484464434.55,1745484464434.55,1745484464451.21,1745484464451.21,1745484464451.30,0.17,16.67,0.08,16.92
10,0,306,1745484464291.40,1745484464451.31,1745484464451.48,1745484464451.48,1745484464468.14,1745484464468.14,1745484464468.20,0.17,16.67,0.06,16.90
4,0,306,1745484464308.72,1745484464468.21,1745484464468.38,1745484464468.38,1745484464485.09,1745484464485.09,1745484464485.15,0.17,16.71,0.06,16.94
7,0,306,1745484464325.87,1745484464485.16,1745484464485.33,1745484464485.33,1745484464501.96,1745484464501.96,1745484464502.02,0.17,16.63,0.06,16.86
3,0,306,1745484464343.21,1745484464502.03,1745484464502.20,1745484464502.20,1745484464518.87,1745484464518.87,1745484464518.95,0.17,16.67,0.08,16.92
2,0,306,1745484464360.83,1745484464518.95,1745484464519.12,1745484464519.12,1745484464536.25,1745484464536.25,1745484464536.33,0.17,17.12,0.08,17.37
5,0,306,1745484464378.23,1745484464536.34,1745484464536.51,1745484464536.51,1745484464553.71,1745484464553.71,1745484464553.78,0.18,17.19,0.08,17.44
8,0,306,1745484464395.32,1745484464553.79,1745484464553.97,1745484464553.97,1745484464570.70,1745484464570.70,1745484464570.77,0.18,16.73,0.07,16.98
1,0,306,1745484464412.61,1745484464570.78,1745484464570.95,1745484464570.95,1745484464588.27,1745484464588.27,1745484464588.33,0.17,17.32,0.06,17.55
9,0,306,1745484464429.12,1745484464588.34,1745484464588.51,1745484464588.51,1745484464605.14,1745484464605.14,1745484464605.22,0.17,16.63,0.09,16.89
6,0,306,1745484464446.11,1745484464605.23,1745484464605.41,1745484464605.41,1745484464622.18,1745484464622.18,1745484464622.24,0.18,16.77,0.06,17.01
11,0,306,1745484464463.06,1745484464622.25,1745484464622.42,1745484464622.42,1745484464639.51,1745484464639.51,1745484464639.59,0.17,17.09,0.08,17.34
10,0,306,1745484464479.99,1745484464639.60,1745484464639.77,1745484464639.77,1745484464657.06,1745484464657.06,1745484464657.13,0.17,17.28,0.08,17.53
4,0,306,1745484464496.93,1745484464657.14,1745484464657.31,1745484464657.31,1745484464674.56,1745484464674.56,1745484464674.61,0.17,17.25,0.06,17.47
7,0,306,1745484464513.79,1745484464674.62,1745484464674.79,1745484464674.79,1745484464691.46,1745484464691.46,1745484464691.52,0.17,16.67,0.06,16.89
3,0,306,1745484464530.94,1745484464691.53,1745484464691.69,1745484464691.69,1745484464708.41,1745484464708.41,1745484464708.47,0.17,16.72,0.06,16.94
2,0,306,1745484464548.30,1745484464708.48,1745484464708.65,1745484464708.65,1745484464725.52,1745484464725.52,1745484464725.81,0.17,16.87,0.29,17.33
5,0,306,1745484464565.47,1745484464725.82,1745484464726.40,1745484464726.40,1745484464743.58,1745484464743.58,1745484464743.66,0.59,17.17,0.08,17.84
8,0,306,1745484464582.77,1745484464743.67,1745484464743.84,1745484464743.84,1745484464760.53,1745484464760.53,1745484464760.59,0.18,16.68,0.06,16.92
1,0,306,1745484464600.27,1745484464760.60,1745484464760.77,1745484464760.77,1745484464778.03,1745484464778.03,1745484464778.12,0.17,17.26,0.09,17.52
9,0,306,1745484464616.96,1745484464778.13,1745484464778.29,1745484464778.29,1745484464795.00,1745484464795.00,1745484464795.08,0.16,16.71,0.08,16.96
6,0,306,1745484464634.24,1745484464795.10,1745484464795.59,1745484464795.59,1745484464812.84,1745484464812.84,1745484464812.90,0.50,17.25,0.06,17.81
11,0,306,1745484464651.63,1745484464812.91,1745484464813.10,1745484464813.10,1745484464830.29,1745484464830.29,1745484464830.36,0.18,17.19,0.08,17.45
10,0,306,1745484464669.02,1745484464830.37,1745484464830.54,1745484464830.54,1745484464847.74,1745484464847.74,1745484464847.80,0.17,17.20,0.06,17.43
4,0,306,1745484464686.44,1745484464847.81,1745484464847.98,1745484464847.98,1745484464865.24,1745484464865.24,1745484464865.30,0.17,17.26,0.06,17.49
7,0,306,1745484464703.22,1745484464865.31,1745484464865.48,1745484464865.48,1745484464882.70,1745484464882.70,1745484464882.77,0.17,17.22,0.07,17.46
3,0,306,1745484464720.52,1745484464882.78,1745484464882.95,1745484464882.95,1745484464899.62,1745484464899.62,1745484464899.68,0.17,16.67,0.06,16.90
2,0,306,1745484464738.06,1745484464899.69,1745484464899.86,1745484464899.86,1745484464916.98,1745484464916.98,1745484464917.07,0.17,17.13,0.08,17.38
5,0,306,1745484464755.34,1745484464917.08,1745484464917.25,1745484464917.25,1745484464933.84,1745484464933.84,1745484464933.92,0.17,16.59,0.08,16.84
